fx fy cx cy k1 k2 k3 k4 k5 k6 p1 p2
1123.9 1123.4 982.364 567.264 0.0769521 -0.105434 0.0428337 0 0 0 6.25417e-05 3.9459e-5
374.635 374.467 327.455 189.088 0.0769521 -0.105434 0.0428337 0 0 0 6.25417e-05 3.9459e-5

